姓名,城市,科室,职称,主执业医院,出诊医院,专业特长,挂号费,出诊时间,信息来源网址
吴玉筠,北京市,小儿肥胖门诊,主任医师,,北京新世纪儿童医院,毕业于首都医科大学儿科系。 于首都医科大学附属北京儿童医院工作三十余年。 现任国家药监局审评专家、中华儿科杂志特约编委、北京医学会医疗技术准入专家、北京市科技奖励办专家等。 擅长各种小儿内分泌疾病的诊治，具有丰富的临床经验，对身材矮小、性早熟等疾病颇有研究。,¥1200,周一、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1594968497159448
赵靖,北京市,耳鼻喉科,主任医师,,北京新世纪儿童医院,毕业于首都医科大学， 获医学博士学位。 于首都医科大学附属北京儿童医院从事耳鼻喉科工作近三十年。 中国医师协会睡眠医学专业委员会第一届青年委员、中国妇幼保健协会儿童耳鼻咽喉头颈外科微创学组委员。 在核心医学期刊发表十余篇论著，SCI收录两篇，主持省部级科研课题项目一项，参与多项睡眠疾病科研课题、儿童耳鼻咽喉头颈疾病相关的科研课题，参加儿科诊疗常规(耳鼻咽喉头颈外科篇)、百科全书(耳鼻咽喉头颈外科分册)等书籍的编写工作。 擅长儿童阻塞性睡眠呼吸暂停低通气综合征、睡眠打鼾、腺样体肥大、扁桃体肥大、儿童OSAHS的无创通气治疗、慢性扁桃体炎、中耳炎、鼻炎、鼻窦炎喉乳头状瘤、咽部肿物、舌根囊肿、会厌囊,¥900,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1560323263139902
崔烺,北京市,小儿心血管内科,副主任医师·双语,,北京新世纪儿童医院,毕业于首都医科大学，获得医学硕士。于首都医科大学附属北京儿童医院从事小儿心血管疾病的诊治工作十余年。中华医学会心电生理及起搏分会电生理女医师联盟成员。擅长儿童心内科疾病如心律失常如阵发性室上性心动过速、预激综合征、室性早搏、室性心动过速、房性早搏、房性心动过速等疾病的诊断及药物治疗。擅长心肌炎、原发及继发心肌病、川崎病、风湿性心脏病等疾病的诊断及治疗。,¥900,周一、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1674024968751282
张晶,北京市,小儿消化科,主任医师 · 双语,,北京新世纪儿童医院,毕业于首都医科大学附属北京儿童医院，获博士学位。任国家儿童医学中心、首都医科大学附属北京儿童医院消化科副主任、内镜中心主任，从事儿科临床工作三十余年。擅长儿童幽门螺杆菌感染，消化性溃疡，胃炎，消化道出血，牛奶过敏性胃肠病，嗜酸性粒细胞胃肠炎，细菌性痢疾，慢性腹泻病，炎症性肠病，婴儿肝炎综合征，胆汁淤积性肝病，儿童偏食、儿童便秘，消化不良，肠易激综合征等方面具有丰富的临床经验。中华医学会肝病学分会遗传代谢性肝病协作组委员、中华医学会消化内镜学分会儿科协作组副组长、福棠儿童医学发展研究中心消化及消化内镜专业委员会副主任委员、中国学生营养与健康促进会肥胖防控分会副主任委员、中国妇幼保健协会儿童营养专,¥900,周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1676357004521859
王会娟,北京市,小儿肿瘤外科,资深医师 · 双语,,北京新世纪儿童医院,毕业于首都医科大学，获硕士学位。曾于天津市肿瘤医院工作多年。从事小儿外科临床工作十余年。 擅长小儿外科常见病及小儿常见良、恶性肿瘤的诊治，恶性肿瘤化疗等。,¥700,周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1594885774186151
李林霞,北京市,青春期儿童心理咨询门诊,心理咨询师,,北京新世纪儿童医院,收费标准【心理咨询、多动儿童心理疏导、青春期儿童心理咨询、学习困难心理咨询：按照1200元/40分钟计费，费用按照具体情况于咨询结束后支付；保险客户预约请咨询人工客服400-662-5588 】 擅长四到十八岁儿童和青少年。具体问题包括：学校霸凌，学习障碍，交友障碍，亲子关系障碍，低自尊，低自信，焦虑，抑郁，网瘾、手机控，厌学等。擅长帮助由于抽动症，多动症，选择性缄默症等孩子的心理疏导工作。同时还擅长离婚家庭子女，以及失亲家庭子女的心理疏导工作。 曾于加拿大安省家庭儿童中心任心理咨询师、游戏治疗师，提供家庭关系咨询服务。,¥1200,周一、周四、周日 (上午 08:00-13:00，下午 13:00-20:00),https://m.doctorpanda.com/doctor/1568706927607349
张嘉盈,北京市,小儿瘢痕防治门诊,资深医师 · 双语,,北京新世纪儿童医院,毕业于北京大学医学部、首都医科大学附属北京儿童医院，获临床医学学士学位和儿外科学硕士学位。于首都医科大学附属北京儿童医院完成规范化培训。 擅长小儿外科急诊、常诊疾病以及整形外科常见疾病的诊断和治疗。,¥700,周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1602843176836905
史学,北京市,小儿中医消化门诊,主任医师,,北京新世纪儿童医院,中西医结合消化专业（如胃炎、厌食、腹泻、胃食管返流、功能性消化不良等）、小儿实体肿瘤化疗的中药支持、过敏性紫癜及紫癜肾炎、IgA肾病的中药治疗及小儿其他常见病如上感、气管炎、肺炎等疾病的中西医结合治疗。 在北京新世纪儿童医院出诊小儿中医消化门诊。 从事中医、中西医结合儿科临床工作三十余年，曾师从裴学义名老中医(北京四大名医孔伯华之弟子)。 中国中西医结合学会心身医学专业委员会常委、北京中医药学会中成药专业委员会副主任委员、中国中西医结合学会疡科专业委员会委员、北京中医药学会脾胃病专业委员会委员、北京中医药学会感染专业委员会委员、北京中医药学会肾病专业委员会委员、北京市高级职称评审委员会委员、北,¥900,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533175677930774
涂绘玲,北京市,特殊儿童疫苗接种门诊,副主任医师·双语,,北京新世纪儿童医院,毕业于北京大学医学部，获儿科学专业博士学位。 现任新世纪医疗北京地区儿童健康发展中心医疗总监，曾于北医三院儿科工作十余年。 擅长儿童保健、生长发育和小儿消化科各类疾病的诊治。 1.儿童保健：擅长儿童生长发育评估、儿童语言发育评估、儿童注意力发育评估、正常儿童和特殊儿童预防接种、儿童营养、疾病预防和家庭养育指导等。 2.小儿消化科：擅长儿童胃肠道疾病和胃肠道功能失调等的诊疗，包括各类小儿过敏性胃肠疾病、小儿急、慢性、迁延性腹泻，小儿肠道菌群失调、小儿慢性胃炎、溃疡病，小儿复发性腹痛及呕吐、便血等病症。,¥900,周一、周二、周三、周四、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1632447420138746
史学,北京市,小儿中医科,主任医师,,北京新世纪儿童医院,中西医结合消化专业（如胃炎、厌食、腹泻、胃食管返流、功能性消化不良等）、小儿实体肿瘤化疗的中药支持、过敏性紫癜及紫癜肾炎、IgA肾病的中药治疗及小儿其他常见病如上感、气管炎、肺炎等疾病的中西医结合治疗。 在北京新世纪儿童医院出诊小儿中医消化门诊。 从事中医、中西医结合儿科临床工作三十余年，曾师从裴学义名老中医(北京四大名医孔伯华之弟子)。 中国中西医结合学会心身医学专业委员会常委、北京中医药学会中成药专业委员会副主任委员、中国中西医结合学会疡科专业委员会委员、北京中医药学会脾胃病专业委员会委员、北京中医药学会感染专业委员会委员、北京中医药学会肾病专业委员会委员、北京市高级职称评审委员会委员、北,¥900,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533175677930774
李林霞,北京市,多动儿童心理疏导门诊,心理咨询师,,北京新世纪儿童医院,收费标准【心理咨询、多动儿童心理疏导、青春期儿童心理咨询、学习困难心理咨询：按照1200元/40分钟计费，费用按照具体情况于咨询结束后支付；保险客户预约请咨询人工客服400-662-5588 】 擅长四到十八岁儿童和青少年。具体问题包括：学校霸凌，学习障碍，交友障碍，亲子关系障碍，低自尊，低自信，焦虑，抑郁，网瘾、手机控，厌学等。擅长帮助由于抽动症，多动症，选择性缄默症等孩子的心理疏导工作。同时还擅长离婚家庭子女，以及失亲家庭子女的心理疏导工作。 曾于加拿大安省家庭儿童中心任心理咨询师、游戏治疗师，提供家庭关系咨询服务。,¥1200,上午 08:00-13:00，下午 13:00-20:00,https://m.doctorpanda.com/doctor/1568706927607349
